reactions,data_type,kcat,MW,kcat_MW
ALPATG160pp,DLkcat,107.9288,82035.27490000003,4736.300091315959
FRUpts2pp,DLkcat,107.9288,,
PYDXPP_num4,DLkcat,107.7368,27162.780400000003,14278.821029676326
G3PAT161,DLkcat,107.3118,100019.78140000036,3862.4607511889512
TDPADGAT,DLkcat,105.541,48440.1424,7843.651590916876
GGPTRCO,DLkcat,104.9765,,
PGP161abcpp,DLkcat,104.9765,128919.95840000037,2931.395609261994
DADNt2pp_num1,DLkcat,104.2427,,
CPPPGO2,DLkcat,103.7542,52728.41250000009,7083.754323155459
FACOAE180,DLkcat,102.7713,127863.67440000018,2893.524542729702
OMBZLM,DLkcat,102.4192,28072.88920000001,13133.992635143513
PLIPA2A120pp,DLkcat,101.7548,66325.42739999999,5523.029317109234
DASYN181,DLkcat,101.3348,,
DKGLCNR2x,DLkcat,101.3348,70790.19840000008,5153.330379704086
PA160abcpp,DLkcat,101.2327,128919.95840000037,2826.8526031420047
TYRTA_num1,DLkcat,100.6482,87145.67520000019,4157.79118319344
FEENTERtex,DLkcat,100.6482,161220.13380000036,2247.445845997674
HACD1_reverse_num1,DLkcat,99.7904,159185.90680000064,2256.7666147189266
LEUabcpp_num1,DLkcat,99.7733,,
UPP3MT,DLkcat,99.5416,49950.81540000002,7174.05225781359
GLYCK2,DLkcat,99.507,,
MALTATr,DLkcat,98.9665,40191.51839999997,8864.541927831226
MTHFC_reverse,DLkcat,98.815,62086.75080000005,5729.628228507647
FACOAE80,DLkcat,98.8085,127863.67440000018,2781.951963051044
PFK_num1,DLkcat,98.8085,139366.65720000002,2552.3364565566976
DMSOR1_num2,DLkcat,98.6041,144092.2266000004,2463.5247048087394
DHGLYH,DLkcat,97.931,0.0,inf
FACOAE100,DLkcat,97.6527,127863.67440000018,2749.4104298945404
2AGPGAT160,DLkcat,97.6527,,
2AGPGAT141,DLkcat,97.5807,,
AICART_reverse,DLkcat,97.5536,,
PYNP2r_reverse,DLkcat,96.5404,162952.6812,2132.799763959944
FCLPA_reverse_num1,DLkcat,96.4075,,
LPLIPAL1G180pp,DLkcat,93.6915,23621.8715,14278.69083108
MLTG5,DLkcat,93.6355,69040.17260000018,4882.487793780503
G6Pt6_2pp,DLkcat,93.6355,50605.9889,6661.025845500275
FA160ACPHi,DLkcat,93.4686,,
ACACt2pp,DLkcat,93.3914,,
COLIPAabctex,DLkcat,92.6543,408235.6288000008,817.0660678992637
HACD6_num2,DLkcat,92.6543,154142.5968000008,2163.94096716034
PYDXPP_num3,DLkcat,92.6543,,
MALTHXabcpp,DLkcat,87.8415,173614.75830000007,1821.4430794735024
PDX5PS,DLkcat,87.6496,281298.76800000004,1121.7203766779382
FE3DCITabcpp,DLkcat,87.1145,130359.70100000012,2405.7450085743885
CPGNabcpp,DLkcat,85.6005,132306.25340000045,2329.1552143672066
LGTHL,DLkcat,85.3436,29839.337399999964,10296.373404055557
TMPPP,DLkcat,83.1469,,
3OAS161,DLkcat,82.3219,85225.74560000013,3477.339363986738
PRAGSr,DLkcat,81.0768,45939.83690000002,6353.450506046528
KAS14_num1,DLkcat,79.3853,85225.74560000013,3353.295157326257
GLCptspp_num1,DLkcat,79.3853,,
OPHBDC,DLkcat,78.4135,333618.5370000005,846.1418317412009
CRNDabcpp,DLkcat,77.6947,117803.62270000012,2374.298120799639
SUCOAS_reverse,DLkcat,77.1918,142338.57839999997,1952.3201870056057
GDPTPDP,DLkcat,76.9646,79341.5360000004,3492.1501897820403
COLIPAKpp,DLkcat,76.8241,,
TDPDRR,DLkcat,76.8241,65387.45060000007,4229.661157641153
S2FE2ST,DLkcat,76.5352,202571.0030000002,1360.1488659262836
SELR,DLkcat,76.4192,,
MLTG2,DLkcat,76.2792,69040.17260000018,3977.468619480237
EDTXS1,DLkcat,76.2741,35406.449200000025,7755.275273409789
3OAS80_num1,DLkcat,75.7131,85225.74560000013,3198.178649903177
ASNNpp,DLkcat,74.5526,147400.98360000018,1820.8111875855873
TYRL,DLkcat,74.5526,107583.14239999992,2494.7157520470437
IPMD_num2,DLkcat,74.5526,,
4ABZGLUH,DLkcat,74.5526,98780.68140000023,2717.022763926787
ECAP3pp,DLkcat,74.4945,135964.3562000001,1972.4301831394234
PSD181,DLkcat,74.4863,35933.97080000004,7462.31696720808
DHPTDNR,DLkcat,73.4344,47809.793000000005,5529.4914161205415
PUNP6_num2,DLkcat,72.0373,29834.296999999995,8692.488380068082
4ABZGLUtr,DLkcat,72.0373,,
3OAR180_reverse,DLkcat,71.8765,102240.05479999993,2530.861319530515
AACPS1,DLkcat,71.8556,,
TRPAS2_reverse,DLkcat,71.7696,211091.43760000012,1223.9746099488398
GARFT_reverse,DLkcat,71.3661,23237.995899999987,11055.94308156325
3AMACHYD,DLkcat,71.2875,,
ARGabcpp_num1,DLkcat,71.2875,108162.42719999998,2372.68159233764
DKGLCNR2y,DLkcat,69.2879,70790.19840000008,3523.601369084448
DURIPP_reverse_num1,DLkcat,68.3417,94413.2024000002,2605.8868224556645
MPTS,DLkcat,65.954,51477.33299999997,4612.406784943581
3OAS120_num1,DLkcat,65.0997,86090.56680000012,2722.2369268917355
3OAS180_num1,DLkcat,64.2202,86090.56680000012,2685.4593783438736
XYLUt2pp,DLkcat,64.1023,197705.8670000001,1167.2303078390682
MALTPTabcpp,DLkcat,63.3854,173614.7583000001,1314.3320431647883
PETNT181pp,DLkcat,63.3854,,
ACONTb_num1,DLkcat,61.5533,93497.01500000064,2370.042294933143
ADD,DLkcat,61.1872,127477.2552000005,1727.9468376881016
PE160abcpp,DLkcat,61.1707,128919.95840000037,1708.1491704856103
MALTTTRabcpp,DLkcat,60.9476,173614.75830000007,1263.7828842918127
FESD1s,DLkcat,60.9476,0.0,inf
FRD2,DLkcat,60.8391,121215.30150000012,1806.8738623728934
FEOXAMabcpp,DLkcat,60.5758,132306.25340000045,1648.2431812251684
ECA4COLIPAabctex,DLkcat,60.1814,408235.6288000008,530.7058588610861
SUCDi,DLkcat,60.022,118357.09000000014,1825.654888946659
2DGLCptspp,DLkcat,59.1738,,
PFL_num2,DLkcat,59.1738,198916.4717000009,1070.9303165264168
CYTBD2pp,DLkcat,59.1738,100342.50790000008,2122.985407264271
DMSOR1pp,DLkcat,59.0534,,
3OAR160,DLkcat,58.6145,102240.05479999993,2063.8897388384435
S2FE2SR,DLkcat,58.4908,296437.8404000002,710.3238902154674
ADEt2rpp_reverse_num1,DLkcat,58.4269,,
CTBTabcpp,DLkcat,58.3863,117803.62270000012,1784.2463175794999
XTSNt2rpp,DLkcat,57.9568,,
ULA4NFT,DLkcat,57.7965,445727.88180000207,466.8036452190347
ECAP2pp,DLkcat,57.3143,135964.3562000001,1517.540962695338
METabcpp,DLkcat,57.2901,,
APG3PAT141,DLkcat,57.1696,22193.16890000001,9273.599499348644
SPMDAT2,DLkcat,56.9605,262640.99400000006,780.7532132626637
3OAR161,DLkcat,56.8169,102240.05479999993,2000.5939981166769
PDH,DLkcat,56.5359,1886996.7324000068,107.8588195227758
UM3PL,DLkcat,54.4344,,
LIPOCT,DLkcat,53.4512,23882.261700000017,8057.206742693045
